,cacheline_size,l1d_size,cpu,isa,branchp,benchmark,numCycles,dcache.overallMissRate,icache.overallMissRate,dcache.overallHits,icache.overallHits,dcache.overallMisses
0,16,128kB,AtomicSimpleCPU,RISCV,None,blackscholes,10000015.0,0.000322,0.000149,997677.0,9998528.0,321.0
1,32,128kB,AtomicSimpleCPU,RISCV,None,blackscholes,10000015.0,0.000188,8.5e-05,997810.0,9999164.0,188.0
2,64,128kB,AtomicSimpleCPU,RISCV,None,blackscholes,10000015.0,0.00011,5e-05,997888.0,9999516.0,110.0
3,128,128kB,AtomicSimpleCPU,RISCV,None,blackscholes,10000015.0,7.1e-05,3e-05,997927.0,9999713.0,71.0
4,256,128kB,AtomicSimpleCPU,RISCV,None,blackscholes,10000015.0,4.5e-05,1.8e-05,997953.0,9999831.0,45.0
5,512,128kB,AtomicSimpleCPU,RISCV,None,blackscholes,10000015.0,3e-05,1.1e-05,997968.0,9999906.0,30.0
