,cacheline_size,l1d_size,cpu,isa,branchp,benchmark,BTBMissPct,BTBHitRatio,numCycles,branchMispredRatio
0,64,32kB,TimingSimpleCPU,ARM,TournamentBP,blackscholes,0.010286,0.989714,5867021.0,0.024011
1,64,32kB,TimingSimpleCPU,ARM,BiModeBP,blackscholes,0.008754,0.991246,5867021.0,0.040539
2,64,32kB,TimingSimpleCPU,ARM,LocalBP,blackscholes,0.018893,0.981107,5867021.0,0.112212
