,cacheline_size,l1d_size,cpu,isa,branchp,benchmark,numCycles,dcache.overallMissRate,icache.overallMissRate,dcache.overallHits,icache.overallHits,dcache.overallMisses
0,64,128B,AtomicSimpleCPU,RISCV,None,458.sjeng,10002081.0,0.215684,1.9e-05,3316358.0,10001889.0,911988.0
1,64,256B,AtomicSimpleCPU,RISCV,None,458.sjeng,10002081.0,0.179568,1.9e-05,3469072.0,10001889.0,759274.0
2,64,512B,AtomicSimpleCPU,RISCV,None,458.sjeng,10002081.0,0.116385,1.9e-05,3736229.0,10001889.0,492117.0
3,64,1024B,AtomicSimpleCPU,RISCV,None,458.sjeng,10002081.0,0.085594,1.9e-05,3866426.0,10001889.0,361920.0
4,64,2048B,AtomicSimpleCPU,RISCV,None,458.sjeng,10002081.0,0.051064,1.9e-05,4012430.0,10001889.0,215916.0
5,64,4096B,AtomicSimpleCPU,RISCV,None,458.sjeng,10002081.0,0.04229,1.9e-05,4049528.0,10001889.0,178818.0
6,64,8192B,AtomicSimpleCPU,RISCV,None,458.sjeng,10002081.0,0.041436,1.9e-05,4053140.0,10001889.0,175206.0
