,cacheline_size,l1d_size,cpu,isa,branchp,benchmark,numCycles,dcache.overallMissRate,icache.overallMissRate,dcache.overallHits,icache.overallHits,dcache.overallMisses
0,64,128B,TimingSimpleCPU,ARM,None,458.sjeng,144524063.0,0.283349,3.6e-05,5228830.0,10004773.0,2067368.0
1,64,256B,TimingSimpleCPU,ARM,None,458.sjeng,106026239.0,0.149129,3.6e-05,6208122.0,10004773.0,1088076.0
2,64,512B,TimingSimpleCPU,ARM,None,458.sjeng,99843955.0,0.112547,3.6e-05,6475032.0,10004773.0,821166.0
3,64,1024B,TimingSimpleCPU,ARM,None,458.sjeng,96072725.0,0.090324,3.6e-05,6637173.0,10004773.0,659025.0
4,64,2048B,TimingSimpleCPU,ARM,None,458.sjeng,89648291.0,0.060161,3.6e-05,6857254.0,10004773.0,438944.0
5,64,4096B,TimingSimpleCPU,ARM,None,458.sjeng,87099407.0,0.045602,3.6e-05,6963474.0,10004773.0,332724.0
6,64,8192B,TimingSimpleCPU,ARM,None,458.sjeng,86937835.0,0.044625,3.6e-05,6970608.0,10004773.0,325590.0
