,cacheline_size,l1d_size,cpu,isa,branchp,benchmark,numCycles,dcache.overallMissRate,icache.overallMissRate,dcache.overallHits,icache.overallHits,dcache.overallMisses
0,64,128B,TimingSimpleCPU,RISCV,None,458.sjeng,77671645.0,0.215684,1.9e-05,3316357.0,10001889.0,911988.0
1,64,256B,TimingSimpleCPU,RISCV,None,458.sjeng,71976839.0,0.179568,1.9e-05,3469071.0,10001889.0,759274.0
2,64,512B,TimingSimpleCPU,RISCV,None,458.sjeng,64823889.0,0.116385,1.9e-05,3736228.0,10001889.0,492117.0
3,64,1024B,TimingSimpleCPU,RISCV,None,458.sjeng,61546133.0,0.085594,1.9e-05,3866425.0,10001889.0,361920.0
4,64,2048B,TimingSimpleCPU,RISCV,None,458.sjeng,57850295.0,0.051064,1.9e-05,4012429.0,10001889.0,215916.0
5,64,4096B,TimingSimpleCPU,RISCV,None,458.sjeng,56944649.0,0.04229,1.9e-05,4049527.0,10001889.0,178818.0
6,64,8192B,TimingSimpleCPU,RISCV,None,458.sjeng,56867673.0,0.041436,1.9e-05,4053139.0,10001889.0,175206.0
