,cacheline_size,l1d_size,cpu,isa,branchp,benchmark,numCycles,dcache.overallMissRate,icache.overallMissRate,dcache.overallHits,icache.overallHits,dcache.overallMisses
0,64,128B,AtomicSimpleCPU,ARM,None,458.sjeng,15175354.0,0.283351,3.6e-05,5228765.0,10004695.0,2067364.0
1,64,256B,AtomicSimpleCPU,ARM,None,458.sjeng,15175354.0,0.14913,3.6e-05,6208058.0,10004695.0,1088071.0
2,64,512B,AtomicSimpleCPU,ARM,None,458.sjeng,15175354.0,0.112547,3.6e-05,6474968.0,10004695.0,821161.0
3,64,1024B,AtomicSimpleCPU,ARM,None,458.sjeng,15175354.0,0.090325,3.6e-05,6637109.0,10004695.0,659020.0
4,64,2048B,AtomicSimpleCPU,ARM,None,458.sjeng,15175354.0,0.060161,3.6e-05,6857190.0,10004695.0,438939.0
5,64,4096B,AtomicSimpleCPU,ARM,None,458.sjeng,15175354.0,0.045602,3.6e-05,6963410.0,10004695.0,332719.0
6,64,8192B,AtomicSimpleCPU,ARM,None,458.sjeng,15175354.0,0.044624,3.6e-05,6970544.0,10004695.0,325585.0
